id,genres,production_companies,cast,crew,production_countries,spoken_languages,year,weekday,month,cast_power,cast_number,crew_number,spoken_languages_number,runtime,popularity,budget,imdb_rating,imdb_votes
3011,Thriller Horror Comedy,Primetime_Pictures Emergence_Entertainment,Edward_Furlong Daniel_Franzese Andrew_Keegan Susan_Ward Sanoe_Lake Laura_Ramsey Aimee_Garcia Jaime_Pressly,Tim_Wesley Paul_T._Murray Eugene_Hess Todd_Nealey Kelsey_T._Howard Kelsey_T._Howard Paul_Lawrence,US,ru en,2005,Thursday,Sep,4252834.3100000005,8,7,2,88.0,0.262437,2000000,3.9,1291
3012,Drama,Canal+ Arte_France Arte_France_Cinéma Hold_Up_Films Ciné+ Agence_Nationale_pour_la_Cohésion_Sociale_et_l'Egalité_des_Chances_(ACSE) Région_Ile-de-France Fonds_Images_de_la_Diversité Pyramide_Distribution Centre_National_de_la_Cinématographie_(CNC) Films_Distribution Lilies_Films Arte_/_Cofinova_9,Karidja_Tour√© Assa_Sylla Lindsay_Karamoh Mari√©tou_Tour√© Idrissa_Diabat√© Rabah_Nait_Oufella Simina_Soumar√© Dielika_Coulibaly Cyril_Mendy Djibril_Gueye Binta_Diop Chance_N'Guessan Damien_Chapelle Nina_Melo Elyes_Sabyani Halem_El_Sabagh Nassereba_Keita Tia_Diagne,C√©line_Sciamma C√©line_Sciamma Crystel_Fournier Julien_Lacheray Thomas_Gr√©zaud B√©n√©dicte_Couvreur R√©mi_Burah Olivier_P√®re Jean-Baptiste_de_Laubier Christel_Baras,FR,fr,2014,Friday,Jun,149694.76,18,10,1,112.0,4.220318,0,6.9,8058
3013,Action Comedy,CAT_Films Mimosa_Films,N!xau Michael_Thys Marius_Weyers Sandra_Prinsloo Louw_Verwey Nic_De_Jager Fanyana_H._Sidumo Joe_Seakatsie Brian_O'Shaughnessy Ken_Gampu,Jamie_Uys John_Boshoff Jamie_Uys Jamie_Uys Buster_Reynolds Boet_Troskie Jamie_Uys Caroline_Burls Mij_Reynolds Robert_Lewis Gail_Grobbelaar Di_Yates Caroline_Burls Roelf_Van_Jaarsveld Paul_Ballinger William_Bell Olga_Lombard,ZA BW,af en,1980,Wednesday,Sep,6983827.34,10,17,2,109.0,10.973482,5000000,7.3,51737
3014,Drama Romance,N/A,Victor_Rasuk Judy_Marte Melonie_Diaz Altagracia_Guzman Silvestre_Rasuk Krystal_Rodriguez Kevin_Rivera Wilfree_Vasquez Donna_Maldonado,Peter_Sollett Peter_Sollett Robin_O'Hara,US,en es,2002,Thursday,May,1448934.06,9,3,2,88.0,1.178723,800000,7.2,5184
3015,Adventure Comedy Drama Romance,The_Weinstein_Company Summit_Entertainment Endgame_Entertainment,Rachel_Weisz Adrien_Brody Mark_Ruffalo Rinko_Kikuchi Robbie_Coltrane Maximilian_Schell Ricky_Jay Zachary_Gordon Max_Records Andy_Nyman Noah_Segan Nora_Zehetner Ram_Bergman Craig_Johnson Dubravko_Jovanoviƒá Esme_Tyler Jovan_Vitas Ana_Sofrenoviƒá Vladimir_Kulhavy Alek_Rodic Josif_Tatiƒá Slobodan_ƒÜustiƒá Branka_Pujiƒá George_Bocchetti Elis_Derham,Jim_Clay Beatrix_Aruna_Pasztor Mary_Vernieu Tom_Karnowski Matthew_J._Birch James_D._Stern Gabriel_Wrye Brian_Reitzell Rian_Johnson Rian_Johnson Ram_Bergman Nathan_Johnson Steve_Yedlin Wendy_Japhet Shannon_Makhanian Douglas_Hansen Nada_Pinter Sophie_Newman Glenn_Marks Drew_DeAscentis,US,en fr cs ja,2008,Tuesday,Sep,25259470.72,25,20,4,114.0,7.973126,20000000,6.8,48586
3016,Drama,First_Point_Entertainment Braeburn_Entertainment,Michael_Sheen Maria_Bello Alan_Tudyk Moon_Bloodgood Kyle_Gallner Meat_Loaf Bruce_French,Shawn_Ku Shawn_Ku Trevor_Morris Michael_Fimognari Lee_Clay Michael_Armbruster Eric_Gozlan Chad_Galster,US,en,2010,Sunday,Sep,8896597.200000001,7,8,1,100.0,2.114833,0,6.6,6295
3017,Science_Fiction Comedy Adventure,United_Artists Metro-Goldwyn-Mayer_(MGM) New_Crime_Productions,John_Cusack Lizzy_Caplan Rob_Corddry Craig_Robinson Clark_Duke Chevy_Chase Sebastian_Stan Collette_Wolfe Lyndsy_Fonseca Crispin_Glover William_Zabka Jessica_Par√© Crystal_Lowe Kellee_Stewart Julia_Maxwell Josh_Heald Charlie_McDermott Amber_Hay,Jack_Green John_Cusack Steve_Pink George_Folsey_Jr. Bob_Ziembicki Johanne_Hubert Susie_Farris Christophe_Beck Jeremy_Stanbridge Michael_Nelson Matt_Moore Brian_Leslie_Parker Grace_Loh Sean_Anders John_Morris Josh_Heald Josh_Heald Dayna_Pink Linda_Dowds Kelvin_Humenny Stephanie_Rossel James_Thomas,US,ru en,2010,Friday,Mar,36066289.43999999,18,22,2,101.0,11.967652000000001,36000000,6.4,160478
3018,Thriller Science_Fiction Drama Mystery,Alcon_Entertainment Syncopy DMG_Entertainment Straight_Up_Films,Johnny_Depp Paul_Bettany Rebecca_Hall Kate_Mara Morgan_Freeman Cillian_Murphy Cole_Hauser Clifton_Collins_Jr Falk_Hentschel Kristen_Rakes Cory_Hardrict Josh_Stewart Luce_Rains Fernando_Chien Steven_Liu Xander_Berkeley Lukas_Haas Wallace_Langham James_Burnett Sam_Quinn Sam_Webb Chris_Gartin Olivia_Taylor_Dudley Abe_Martell Lauren_Sivan Laramie_Cooley Nancy_Jeris Colin_Jones Dylan_Kenin Chad_Brummett Antonio_Del_Prete Jon_Kristian_Moore John_Trejo Darren_P._Leis Richard_Daniel_Williams Seth_Adkins Jaime_Powers Lubella_Gauna Lyn_Quinn Kendra_Tuthill Darrick_Hurst,Scott_Herbertson Wally_Pfister Jack_Paglen Christopher_Nolan Emma_Thomas Kate_Cohen Broderick_Johnson Andrew_A._Kosove Annie_Marter Regency_Boies Marisa_Polvino Chris_Seagers Jess_Hall Scott_Andrew_Robertson Tom_Frohling Mike_Chambers John_Papsidera Gregory_S._Hooper Bjarne_Sletteland Clint_Wallace Gene_Serdena George_L._Little Luisa_Abel Richard_K._Buoen Susannah_Carradine Victor_James_Martinez Aric_Cheng Nancy_Deren Timothy_M._Earls Jerome_Brett_Fairchild Ricardo_Guillermo Jeff_Julian Mallorie_McConnell Candice_Muriedas Siobhan_Roome Grant_Samson Andrew_M._Siegel David_V._Butler Richard_L._Anderson Sandra_Fox Goro_Koyama Sylvain_Lasseur Mark_A._Mangini Douglas_Shamburger Tim_Walston Scott_R._Fisher Nathan_McGuinness Wade_Allen Darrin_Prescott Greg_Baldi Samuel_Painter P._Scott_Sakamoto Jo_Edna_Boldin Corey_Bronson Laurel_Frushour Robert_Q._Mathews Erich_Stratmann Denny_Caira James_Waitkus Lori_A._Balton Justin_Ferk Samantha_C._Kirkeby Paul_B._Roberts Brian_N._Bentley Dawn_Swiderski John_Trejo Jim_Ford,CN GB US,en,2014,Wednesday,Apr,95434721.92999998,41,67,1,119.0,9.730176,100000000,6.3,214426
3019,Drama Music,Twentieth_Century_Fox_Film_Corporation Columbia_Pictures_Corporation,Roy_Scheider Jessica_Lange Leland_Palmer Ann_Reinking Ben_Vereen Cliff_Gorman Erzsebet_Foldi Michael_Tolan Max_Wright William_LeMassena Irene_Kane Deborah_Geffner Kathryn_Doby Anthony_Holland Robert_Hitt David_Margulies Sue_Paul Keith_Gordon Frankie_Man Alan_Heim John_Lithgow Sandahl_Bergman CCH_Pounder Wallace_Shawn,Bob_Fosse Robert_Alan_Aurthur Robert_Alan_Aurthur Bob_Fosse Daniel_Melnick Kenneth_Utt Alan_Heim Ralph_Burns Howard_Feuer Jeremy_Ritzer Philip_Rosenberg Gary_J._Brink Edward_Stewart Albert_Wolsky Giuseppe_Rotunno,US,en,1979,Thursday,Dec,9177123.64,24,15,1,123.0,5.632325,0,7.9,27513
3020,Drama Romance Thriller,Paramount_Pictures Twentieth_Century_Fox_Film_Corporation Lightstorm_Entertainment,Kate_Winslet Leonardo_DiCaprio Frances_Fisher Billy_Zane Kathy_Bates Gloria_Stuart Bill_Paxton Bernard_Hill David_Warner Victor_Garber Jonathan_Hyde Suzy_Amis Lewis_Abernathy Nicholas_Cascone Danny_Nucci Jason_Barry Lew_Palter Eric_Braeden Bernard_Fox Ewan_Stewart Ioan_Gruffudd Jonny_Phillips Edward_Fletcher Scott_G._Anderson Martin_East Gregory_Cooke Alexandrea_Owens Seth_Adkins Michael_Ensign Anatoly_M._Sagalevitch Martin_Hub Mark_Lindsay_Chapman Richard_Graham Paul_Brightwell Ron_Donachie Charlotte_Chatton Fannie_Brett Jenette_Goldstein Camilla_Overbye_Roos Linda_Kerns Amy_Gaipa Martin_Jarvis Rosalind_Ayres Rochelle_Rose Jonathan_Evans-Jones Brian_Walsh Rocky_Taylor Craig_Kelly Liam_Tuohy Simon_Crane James_Lancaster Elsa_Raven Reece_P._Thompson_III Laramie_Landis Mark_Rafael_Truitt John_Walcutt Terry_Forrestal Derek_Lea Richard_Ashton Sean_Nepita Brendan_Connolly David_Cronnelly Garth_Wilton Richard_Fox Nick_Meaney Kevin_Owers Mark_Capri Marc_Cass Paul_Herbert Emmett_James Chris_Byrne Oliver_Page James_Garrett Erik_Holland Erik_Holland Jari_Kinnunen Anders_Falk Barry_Dennen Vern_Urich Rebecca_Klingler Tricia_O'Neil Kathleen_S._Dunn Romeo_Francis Mandana_Marino Van_Ling Bj√∏rn_Olsen Dan_Pettersson Shay_Duffin Greg_Ellis Diana_Morgan Kris_Andersson Bobbie_Bates Aaron_James_Cash Anne_Fletcher Edmond_Alan_Forsyth Andie_Hicks Scott_Hislop Stan_Mazin Lisa_Ratzin Julene_Renee Brian_Baines Ellie_Bensinger Alexandra_Boyd Mike_Butters James_Cameron Bruno_Campolo Chris_Cragnotti Kevyn_Currie Kevin_De_La_Noy Thomas_Fiss Griffin_Howell Sean_Howse Tony_Kenny Bret_Aaron_Knower George_Kosty_III George_Kosty_Jr. Geoffrey_C._Kosty Gregory_Charles_Kosty Sean_Lawlor John_Leonhardt Miguel_A._Lomelin Don_Lynch Johnny_Martin Ryan_McClurkin Meghan_McLeod Mike_O'Neal Julian_Oros Phil_Parlapiano Judy_Prestininzi Steven_Quale Olivia_Rosewood John_Slade Stephen_Wolfe_Smith R._Gern_Trowbridge Francisco_V√°ldez Lucie_Zolcerova,Mali_Finn James_Horner James_Cameron James_Cameron James_Cameron James_Cameron Peter_Lamont Richard_A._Harris Conrad_Buff_IV Russell_Carpenter Martin_Laing Michael_Ford Deborah_Lynn_Scott Grant_Hill Grant_Hill Jon_Landau Jon_Landau Sharon_Mann Anna_Roth Lisa_Dennis_Kennedy Giedra_Rackauskas Rae_Sanchini Emily_Schweber Emily_Schweber Greg_Cannom Lahly_Poore Al_Giddings Kay_Georgiou Simon_Crane John_H._Arrufat Leigh_Leverett Rudy_Joffroy Sarah_Touaibi Adolfo_Ram√≠rez Ismael_Jardon Gwendolyn_Yates_Whittle Merie_Weismiller_Wallace Richard_Quinn Joe_E._Rand John_Bruno Chris_O'Connell Tina_Earnshaw Simon_Thompson Marcis_Cole Claire_Sanfilippo Brian_N._Bentley Pamela_Easley Mike_Amorelli Randy_Gerston David_Le_Vey George_Fisher Laura_Borselli Tony_Graysmark Charlotte_Harper Amanda_Sallybanks William_Les_Collins Scott_MacFarlane Magui_Jimenez Magui_Jimenez Gemma_Joffroy Jesus_Ignacio_Santana Murray_Lantz Fabiola_Perez_Luna Amy_Arnold Annie_Townsend,US,en fr de sv it ru,1997,Tuesday,Nov,213170552.36999995,136,65,6,194.0,26.88907,200000000,7.8,1027715
3021,Comedy Crime Thriller,Initial_Entertainment_Group_(IEG) Interscope_Communications VBT_Productions Ballpark_Productions_Partnership,Jon_Favreau Leland_Orser Cameron_Diaz Christian_Slater Jeremy_Piven Daniel_Stern Jeanne_Tripplehorn Rob_Brownstein Blake_Gibbons Tyler_Cole_Malinger Joey_Zimmerman Russell_B._McKenzie Kobe_Tai Pancho_Demmings Lawrence_Pressman Brian_Grandison John_Cappon Steve_Fitchpatrick Angelo_Di_Mascio_Jr. Linda_Klein,Christian_Slater Stewart_Copeland Scott_Kroopf Ted_Field Dan_Lebental Michael_Atwell Terry_Dresbach Dina_Lipton Diane_Nabatoff David_Hennings Peter_Berg Peter_Berg Michael_Schiffer Cindy_Cowan Joanna_Johnson Laura_Greenlee Debi_Manwiller Michael_A._Helfant Kathy_Lucas,US,en,1998,Friday,Sep,35512723.79,20,19,1,100.0,10.432293,30000000,6.4,44552
3022,Romance Comedy,Lionsgate New_Wave_Entertainment Management_360 Terra_Firma_Films Superfinger_Entertainment,Dane_Cook Kate_Hudson Alec_Baldwin Jason_Biggs Diora_Baird Lizzy_Caplan Riki_Lindhome Mini_Anden Nate_Torrence Hilary_Pingle Malcolm_Barrett Taran_Killam Faye_Grant Amanda_Brooks Richard_Snee Alberto_Bonilla Sally_Pressman Kate_Albrecht Rakefet_Abergel Andrew_Caldwell Maureen_Keiller Tom_Kemp Tony_V. Jacqui_Holland Andria_Blackman Georgia_Lyman Melina_Lizette Josh_Alexander Jenny_Mollen Eamon_Brooks Cyce_Sadsad Rob_Rota Edna_Panaggio,Jack_Green John_Debney Anne_McCarthy Mike_Elliott T.K._Kirkpatrick Adam_Herz Howard_Deutch Howard_Deutch Seth_Flaum Jane_Ann_Stewart Michael_Paseornek Guymon_Casady Barry_Katz Jay_Scully John_Sacchi Brian_Volk-Weiss Jerry_P._Jacobs Gregory_Lessans Josh_Shader Freddy_Luis Maura_Tighe Jordan_Cahan Jordan_Cahan Doug_Johnson,US,en,2008,Friday,Sep,28311356.229999997,33,24,1,101.0,14.114135999999998,20000000,5.9,42221
3023,Drama Music,Paramount_Pictures MTV_Films Country_Music_Television_(CMT) Paramount_Home_Entertainment ChickFlick_Productions,Brian_F._Durkin Jason_Leith Richard_Tillman Toby_Keith Leland_L._Jones Kelly_Preston Burt_Reynolds Lindsey_Haun Jeff_Portell Greg_Clarkson Tess_Harper Anna_Maria_Horsford Sharon_Blackwood Josh_Henderson Daniel_Newman,Steven_Goldmann Cherie_Bennett Jeff_Gottesfeld Toby_Keith Patrick_Cady Leslie_Belzberg Sara_Risher Donald_Zuckerman Nancy_Nayor Debbie_DeVilla Amy_McGary Mary_Jane_Fort Rhona_Meyers Caroline_Keenan Taylor_Knight Judy_Ponder-Patton Tracey_L._Miller-Smith Denise_Tunnell Gail_Hunter,US,en,2006,Friday,Sep,4774752.649999999,15,19,1,105.0,1.120498,0,6.1,1604
3024,Crime Thriller,Paramount_Pictures Cruise/Wagner_Productions Lakeshore_Entertainment Intermedia_Films,Carrie-Anne_Moss Aaron_Eckhart Ben_Kingsley Harry_Lennix Kevin_Chamberlin Keith_Campbell,Michael_Chapman Deborah_Aquila Ida_Random Clint_Mansell Paula_Wagner E._Elias_Merhige Robert_K._Lambert Zak_Penn Billy_Ray Gaye_Hirsch John_Gilroy Tricia_Wood Judi_Townsend,DE GB US,en,2004,Friday,Aug,15618866.67,6,13,1,99.0,7.550891,27000000,5.8,18790
3025,Action Drama Thriller,RabbitBandini_Productions A24 Windowseat_Films,James_Franco Amber_Heard Ed_Harris Christian_Slater Wilmer_Valderrama Jim_Parrack Cynthia_Nixon Michael_Cristofer Danny_Flaherty Timoth√©e_Chalamet Jake_Katzman Eliana_Fanders Tamzin_Brown Tonya_Glanz Casper_Andreas Giulia_Cicciari Rochelle_Bostrom Raymond_T._Williams Laura_Frost Giuseppe_Cicciari,Pamela_Romanowsky Pamela_Romanowsky James_Franco Vince_Jolivette James_Reach Bruce_Thierry_Cheung Marc_Vives Kerry_Barden Paul_Schnee Todd_Fjelsted Vanessa_Riegel Graham_Wichman Brenda_Abbandandolo Constance_Garcia Leslie_Zak Thorstein_Foss Ryan_Castle Kasey_Truman Joey_Montenarello Clair_Popkin Robert_Ansbro Steve_McBride Yousheng_Tang Anna_Kooris Scott_Sans Matt_Fleischmann Zach_Rubin Oren_Kaplan John_Moros Josh_Berger Rich_Bologna Colleen_Callaghan Robin_Day Jeremy_Selenfriend James_DeMarco Stephen_Elliott Michael_Andrews,N/A,en,2016,Friday,Apr,14227133.15,20,37,1,105.0,4.14228,0,5.2,4103
