cast,revenue,castPower
Greg_Lewis,5977590.58 572871.14 1344627.53,2631696.42
Abigail_Breslin,7273910.74 577033.98 238818.62 6267013.57 628243.53 10735695.79 1536180.27 649886.64 12810.6,3102177.08
Paul_Vogt,7719827.05 514783.92,4117305.48
Joseph_Leo_Bwarie,7874309.17 5545077.78 727712.27,4715699.74
Hope_Alexander-Willis,8584089.83 589870.97,4586980.4
Rowan_Joseph,10637674.89,10637674.89
Jeffrey_Scott_Jensen,12955353.75,12955353.75
Miles_Teller,2430.46 15426.98 10279.3 727849.49 47111.3 85962.13,148176.61
J.K._Simmons,20179.43 568713.33 67.86 4359261.68 2505696.96 27487.15 14333.41 26566.91 3681000.9 118078.34 5813930.41 259146.95 361165.11 39925.86 1830.86 127343.04 6496758.31 790057.5 41933081.16 1003107.09 1643954.99 186079.79 493083.21 99732.35 4036821.44,2984296.16
Melissa_Benoist,21961.61 1223765.35,622863.48
Austin_Stowell,21969.47 4377015.49 217444.12,1538809.69
Jayson_Blair,22462.83 883937.68,453200.26
Kavita_Patil,25689.56,25689.56
Paul_Reiser,33151.89 1461465.65,747308.77
Nate_Lang,36151.51,36151.51
Chris_Mulkey,41508.76 2518366.43 760171.6 68001.49 2819410.13 925082.54 43185.09,1025103.72
Damon_Gupton,49011.22 3196528.57,1622769.9
Suanne_Spoke,63901.34,63901.34
Max_Kasch,72683.48 1292686.47 354285.79 215162.03,483704.44
Charlie_Ian,82726.14,82726.14
Kofi_Siriboe,93347.06 1406040.52,749693.79
C.J._Vana,96287.42,96287.42
Tarik_Lowe,96634.58,96634.58
Tyler_Kimball,103830.6,103830.6
Rogelio_Douglas_Jr.,123324.49,123324.49
Adrian_Burks,124043.06,124043.06
Joseph_Bruno,127797.77,127797.77
Michael_D._Cohen,129492.82,129492.82
Jocelyn_Ayanna,133999.28,133999.28
Keenan_Henson,134283.46,134283.46
Janet_Hoskins,145287.21,145287.21
April_Grace,148640.15 14397723.81 19943727.06 3362969.4,9463265.11
Clifton_'Fou_Fou'_Eddie,149388.53,149388.53
Calvin_C._Winbush,165005.06,165005.06
Marcus_Henderson,174309.73 2395020.07,1284664.9
Tony_Baker,198822.61,198822.61
Henry_G._Sanders,204141.4 7368141.06 689903.38 1980140.91 1142263.36,2276918.02
Sam_Campisi,205979.46,205979.46
Jimmie_Kirkpatrick,242003.61,242003.61
Keenan_Allen,262089.71,262089.71
Ayinde_Vaughan,285563.96,285563.96
Shai_Golan,285817.76,285817.76
Yancey_Wells,306432.04,306432.04
Candace_Roberge,350489.1,350489.1
Krista_Kilber,350975.51,350975.51
Cici_Leah_Campbell,359810.13,359810.13
Damien_Coates,374274.99,374274.99
Kyle_Julian_Graham,386222.68,386222.68
Ellee_Jane_Hounsell,391832.96,391832.96
Stephen_Hsu,454665.8,454665.8
Herman_Johansen,520141.29,520141.29
Wendee_Lee,560911.25,560911.25
Dakota_Lupo,600257.82,600257.82
Jesse_Mitchell,664652.8,664652.8
Amanda_Newman,692849.44,692849.44
Joseph_Oliveira,905371.05 29926463.58 4233983.04 17139358.03 2201809.0,10881396.94
Michelle_Ruff,952842.07,952842.07
Daniel_Weidlein,1096353.65,1096353.65
Vidya_Balan,285676.66 1000102.56,642889.61
Nawazuddin_Siddiqui,614435.52 176062.58 12141.36,267546.49
Parambrata_Chatterjee,1003775.09,1003775.09
Saswata_Chatterjee,1154416.05,1154416.05
Indraneil_Sengupta,2643291.6,2643291.6
Darshan_Jariwala,3137017.56 466391.99,1801704.77
Masood_Akhtar,7161387.51,7161387.51
Kim_Kang-woo,87378.35,87378.35
Jo_Jae-hyeon,550638.84 96.12,275367.48
Park_Si-yeon,569449.04,569449.04
Kim_Joon-bae,2716503.77,2716503.77
Scott_Grimes,477715.52 29260402.97 269005.46,10002374.65
Tom_Bosley,593942.12 4072022.19,2332982.15
Rickie_Lee_Jones,841787.69,841787.69
James_Earl_Jones,1348192.67 2256749.77 24231122.61 90996.41 1269797.9 3820748.69 4343487.99 7860866.52 565431.59 5176976.62 262361.61 49661.59 678081.4 28669543.59 2820659.63,5562978.57
Jeffrey_Dean_Morgan,712670.78 40209.19 21828.88 10486.2 206947.45 24795.9 7474833.03 18282.9,1063756.79
Natasha_Calis,794279.83,794279.83
Madison_Davenport,857038.8 48761394.95 42817523.83,30811985.86
Kyra_Sedgwick,1599533.02 531531.08 1225979.4 3314864.31 148654.8 1345323.14 90767.19 1027085.99,1160467.37
Rob_LaBelle,1865547.06 4265691.11 39068.45,2056768.87
Nana_Gbewonyo_,2231485.63,2231485.63
Jim_Thorburn_,3006378.49,3006378.49
Matisyahu_,3746304.73,3746304.73
Quinn_Lord,6977588.53,6977588.53
Jay_Brazeau,9453177.36 28165902.28 1345036.96 1763575.03 525689.02 4100653.38,7559005.67
Erin_Simms,9762630.12,9762630.12
John_Cassini,14070548.52 2070655.8,8070602.16
Grant_Show,14098950.81,14098950.81
Tim_Perez,16269941.32 3876143.14,10073042.23
Samir_Khader,22954.83,22954.83
Josh_Rushing,130352.85,130352.85
George_W._Bush,1138356.26 2825839.78,1982098.02
Hassan_Ibrahim,1294847.06,1294847.06
Tim_Curry,184137.23 1107068.12 6668970.94 130425.58 13429.27 3583878.08 188653.26 143941.14 6354127.04 25080.52 1196928.49,1781512.7
Kevin_Bishop,231156.36 855291.26 228674.32 222225.4,384336.84
Jennifer_Saunders,644672.28 6296.82 5252259.96,1967743.02
Billy_Connolly,1765249.26 10727.38 27749.6 790.58 1614.52 19555209.1,3560223.41
Dave_Goelz,1969872.38 599157.38,1284514.88
Frank_Oz,2296190.72 3116511.35 2697.83 4083726.11 422101.02,1984245.41
Steve_Whitmire,2746218.3,2746218.3
David_Nicholls,3229734.59,3229734.59
Frederick_Warder,3302435.27 4037122.55,3669778.91
Harry_Jones,5046537.07,5046537.07
Peter_Geeves,5599490.08 239481.89,2919485.98
Jessica_Hamilton,7311697.45,7311697.45
Bob_Balaban,12240.12 279226.52 6377631.22 906583.23 286846.52 3782077.41,1940767.5
Christopher_Guest,98078.85 2340287.52 11435209.13 338810.67,3553096.54
John_Michael_Higgins,124731.27 298888.92 5800429.65 102618.71 5395413.63 3976089.21 626655.87 387187.6 4223940.32 2715301.49 7237248.19 358168.13 951327.47 648251.13,2346160.83
Eugene_Levy,156649.7 10545916.93 1459153.98 387105.43 33654.93 746766.41 130885.91 523118.09 582602.47 7297306.6 174078.5,2003385.36
Jane_Lynch,168165.84 3473618.32 332254.63 230828.06 298312.74 331018.45 25348.93 1191.52 7497339.15 42698512.46 1642455.86 739594.09 7566466.56,5000392.82
Michael_McKean,242862.29 70843.92 61767.2 584720.13 274503.03 2360985.1 401075.64 883957.74 133142.54,557095.29
Catherine_O'Hara,250801.8 1230435.03 403969.24 242032.01 217292.28 821016.77 717426.23,554710.48
Parker_Posey,284542.17 6017025.76 531972.18 26330.98 2362003.06 7022260.04 16039.81 5211050.71 2527690.22,2666546.1
Harry_Shearer,444267.42 11734173.37 11062427.2 1750950.58 1452720.09,5288907.73
Fred_Willard,466827.8 3207080.94 1408123.27 1908265.61 91948.81,1416449.29
Ed_Begley_Jr.,540514.78 3960186.97 1399438.46 426584.94 740.99 504130.45,1138599.43
Rachael_Harris,692910.99 1474911.97 1440010.36 601352.98 5643478.0 1692362.07 1481652.42 2701313.59 5811748.8 1383215.79 799129.35,2156553.3
Jennifer_Coolidge,716674.1 9592907.04 2146710.4 71305.47 15653618.3 797788.41 2934898.52 1381.62 5146865.2 22555.59,3708470.46
Paul_Dooley,1008045.35 3397362.04 924562.69 6235644.21 9300908.71 913902.01 577312.56 162113.86 2211373.06 249.94,2473147.44
Don_Lake,1469180.44 6392824.86,3931002.65
Deborah_Theaker,1482808.92,1482808.92
Bill_Cobbs,2229600.82 3149397.22 7317891.51 18973398.59 107400.8 709963.77 627881.77 2508557.41 4558738.04,4464758.88
Michael_Mantell,3650956.7 716563.52 759921.01 1618.94 274570.87 351756.73,959231.3
Michael_Hancock,4229070.45,4229070.45
Sylvester_Stallone,85604.07 48488.45 95022.65 2650080.51 130534.76 572827.76 9005300.15 179055.72 283136.72 129448.82 59663.5 5978722.7 1518043.17 2583730.63 385081.0 41952.08 530553.04 3019473.13 315088.72 295145.75 213162.38,1339053.13
Talia_Shire,97510.2 5423083.47 150601.73 734784.61 3743667.58 1150016.95 1.49,1614238.0
Burt_Young,174536.76 7896893.34 4147413.75 201233.75 1242609.89 418456.33,2346857.3
Carl_Weathers,174540.92 9503966.69 381039.02 24215.66 63575.41 6003063.24 5878945.05,3147049.43
Burgess_Meredith,382443.77 9976992.73 6221537.96 2406076.03,4746762.62
Thayer_David,429259.83 421823.63,425541.73
Joe_Spinell,469659.68 249630.64 16583223.71 982476.21 7416283.74 1035526.18 1848058.04 719131.55 302661.12,3289627.87
Tony_Burton,559703.56 10245628.18 6692706.71 6647214.47,6036313.23
Joe_Frazier,577693.72,577693.72
Jimmy_Gambina,579948.78 6748642.36,3664295.57
Jodi_Letizia,724762.29,724762.29
Stan_Shaw,757258.56 74691.93 204103.84 756637.69 2801961.46,918930.7
Michael_Dorn,867002.61 2103171.2 10369019.65 231961.81,3392788.82
DeForest_Covan,1035607.14,1035607.14
Bill_Baldwin,1092019.35 35268243.73 1297785.09 2444631.65,10025669.96
Lloyd_Kaufman,1528653.6 13211.82 5667420.97 250142.26 4187.48,1492723.23
Al_Silvani,1645278.06 17542448.9,9593863.48
George_Memmoli,1721783.99 116553.92,919168.95
Diana_Lewis,1784927.66,1784927.66
George_O'Hanlon,2053039.7,2053039.7
Larry_Carroll,2086423.51,2086423.51
Frank_Stallone,2867631.44 1950428.65 6455061.98 98933.47,2843013.89
Don_Sherman,2970663.59 26748108.95,14859386.27
Billy_Sands,3271795.15 7964843.33,5618319.24
Simmy_Bow,3683525.0 6832889.71 4697750.24,5071388.32
Jane_Marla_Robbins,4011694.39 1036555.48 1107780.32,2052010.06
Frank_Pesce,4145887.47 708667.48 18667012.43 6521905.01,7510868.1
John_Pleshette,4881449.12 15073520.21 27591336.61,15848768.65
Lavelle_Roby,5711568.75 3403634.48,4557601.62
Pedro_Lovell,6694172.89,6694172.89
Stu_Nahan,7503771.25 24806565.49,16155168.37
Hank_Rolike,7889217.68,7889217.68
Shirley_O'Hara,8407396.95,8407396.95
Kathleen_Parker,8454357.22,8454357.22
Frankie_Van,8572315.55 33775.11,4303045.33
Arnold_Johnson,9507215.18,9507215.18
Arthur_Tovey,9834827.59 448856.98 993410.47 254556.28,2882912.83
Robert_Carradine,505583.99 9456.4 678966.83 195.21 354972.66 115846.83 1275660.6 405475.31,418269.73
Curtis_Armstrong,807312.72 13989458.6 544401.68 67816.85 385619.41,3158921.85
Larry_B._Scott,921515.97 945492.0,933503.98
Timothy_Busfield,928290.3 668423.06,798356.68
Courtney_Thorne-Smith,941133.52 592522.45,766827.98
Andrew_Cassese,1010508.0,1010508.0
Donald_Gibb,1327811.99 798471.89 3117129.86,1747804.58
Bradley_Whitford,1433089.44 138457.57 3242.52 678661.1 20541.89 371821.47 361083.97 1568958.39 1069279.05 137.34,564527.27
Ed_Lauter,1532072.48 29055051.37 411613.8 194614.82 305900.37 855360.25 232552.02 14805159.43 351998.01,5304924.73
Barry_Sobel,1616076.21 216582.85 997477.56,943378.87
Anthony_Edwards,1897689.27 3567722.99 845057.12 45621.79 532560.98 6709.77 13641.11 337547.92,905818.87
James_Hong,2737299.97 995636.08 43129.51 989347.25 362524.72 869020.4 1205306.12 414682.46,952118.31
Ruben_Rabasa,3238960.27 3681207.76 29413.56,2316527.2
James_Cromwell,3744688.86 1810.14 1343236.07 7127653.24 1505681.76 62727.45 108482.89 22864.08 7633121.21 6479865.2 900777.88,2630082.62
Kevin_Spacey,106996.42 5133755.06 4007.08 633549.24 2329750.3 71352.96 586.15 196.71 313031.91 1928600.44 4179349.36 125369.53 448622.21 4267589.89,1395911.23
Annette_Bening,190526.62 458087.16 5173.98 920313.43 1629.95 971859.83 386663.05 635766.12,446252.52
Thora_Birch,329244.84 148237.65,238741.24
Wes_Bentley,999783.17 50658.69 88726.78,379722.88
Mena_Suvari,1229431.54 6398665.41 2108252.79 339096.68 450007.65 395460.5,1820152.43
Chris_Cooper,1321161.38 8314281.32 247888.11 280490.89 53216.61 4561780.14 2657962.61 455821.09 62995.31 1450808.27 30692869.0 3953227.55 491241.46 630401.69 976027.29,3743344.85
Scott_Bakula,1444744.19 21544.14 91401.87 300954.8,464661.25
Peter_Gallagher,1474053.48 2034885.5 660690.34 713117.96 9167.03,978382.86
Allison_Janney,1490075.02 31815.32 342224.53 359753.0 449386.08 339090.51 2192.44 764696.56 2623.86 1840.54 1945862.4 1582124.4 188195.93 44767734.16 480296.87 301152.65 4141384.46 3490512.96,3371164.54
Sam_Robards,1560464.62 2711947.97 200455.67 77283.46,1137537.93
Barry_Del_Sherman,1747002.73 1080956.3,1413979.52
John_Cho,2415414.68 698529.29 2711968.67 2622426.17 100010.7 27221.03 888119.99 2489764.24 1784648.19,1526455.88
Hal_Fort_Atkinson,2632671.12,2632671.12
Kent_Faulcon,2725678.7 5049771.38,3887725.04
Ara_Celi,2957614.45 1331716.35,2144665.4
Sue_Casey,3198219.04,3198219.04
Brenda_Wehle,3579734.53 1595301.75 5147264.32,3440766.87
Lisa_Cloud,5382483.04,5382483.04
Amber_Smith,6446037.93 605449.72,3525743.82
Joel_McCrary,6732666.46 4764235.99 898308.29 17166756.45,7390491.8
Marissa_Jaret_Winokur,7013618.33 582546.12 29905608.11,12500590.85
Dennis_Anderson,7215914.52,7215914.52
Matthew_Kimbrough,7306974.5 17132856.41 95171.98 320404.62,6213851.88
Erin_Cathryn_Strubbe,7535509.79,7535509.79
Alison_Faulk,8201525.16,8201525.16
Krista_Goodsitt,8989747.81,8989747.81
Lily_Houtkin,9918323.88,9918323.88
Carolina_Lancaster,10460879.27,10460879.27
Mona_Leah,11001558.05,11001558.05
Chekesha_Van_Putten,11242978.89,11242978.89
Emily_Zachary,11682193.81,11682193.81
Nancy_Anderson,13737979.7 1947053.84,7842516.77
Reshma_Gajjar,15610032.71 1278727.7,8444380.21
Stephanie_Rizzo,16325271.18,16325271.18
Heather_Joy_Sher,17250342.78,17250342.78
Chelsea_Hertford,17714879.81,17714879.81
Elaine_Corral_Kendall,20863839.72 5025683.91,12944761.81
David_C._Fisher,21704950.74 2120031.38 5507475.24,9777485.79
Tom_Miller,37290894.41,37290894.41
Bruce_Cohen,47265181.98,47265181.98
John_Travolta,22472.04 736060.09 80513.99 398155.99 13.93 87475.91 10044891.16 706428.15 78324.77 18651.45 572030.59 231910.9,1081410.75
Uma_Thurman,68737.09 5506539.27 125513.5 180720.41 301790.3 37133.61 430018.94 101676.09 1565.49 338211.04,709190.57
Vince_Vaughn,85425.81 581907.26 53057.47 1858118.4 71.56 16906.1 2439.72 514514.09 4010349.45 1447582.14 41040.71 539.24 1043390.32 5804.93 57293.45 3747075.71,841594.77
Cedric_the_Entertainer,92604.11 597040.71 470380.65 4096083.1 1858336.46 1331009.5 444035.43 103881.05 1254519.6 342261.28,1059015.19
André_Benjamin,96784.48 1053407.24 1091.81 1145088.93 27294.62,464733.42
Steven_Tyler,97431.05 3534747.16 35396059.13,13009412.45
Robert_Pastorelli,109099.63 1440382.49 1428721.52 5802602.6 603936.58,1876948.56
Christina_Milian,136376.62 903179.11 3884703.55 83463.09,1251930.59
Paul_Adelstein,171122.87 10638496.5 2780549.63 473449.94,3515904.73
Debi_Mazar,194471.39 14113571.74 68478.88 95230.03 18863.01 9222027.26 3248.23,3387984.36
Gregory_Alan_Williams,201238.19 1187326.88 2638135.87,1342233.65
Harvey_Keitel,203076.81 744.28 63883.56 47644.68 791015.51 383721.7 4371889.71 188474.39 20615.99 1544.65 126820.94 10304.41 12478.41 1513825.17 383785.3,541321.7
Dwayne_Johnson,266376.17 281940.3 85275.52 100084.63 24529.09 31526.34 503764.87 262135.46 99577.4 1743961.12 14246.86 335340.08 7808.4 71537.24 36552.76,257643.75
Danny_DeVito,318669.36 148473.93 7021272.49 127371.62 5076.08 3129044.39 79187.73 8017427.95 306360.08 24330.02 20479.94 2905652.18 95542.58 982221.85 387798.59 20137.0,1474315.36
James_Woods,352259.61 150551.7 2979247.1 48087.32 1190772.6 8762.27 817741.13 1.74 5074875.99 3354257.66 5356.41 10738500.08 4819106.87 351629.27 1806855.63 13444.68,1981965.63
Anthony_J._Ribustello,407297.34,407297.34
Wyclef_Jean,455030.09,455030.09
Fred_Durst,595067.57,595067.57
Sérgio_Mendes,625097.81,625097.81
Gene_Simmons,631954.22 228035.79,429995.01
RZA,683549.92 5971705.03 671376.91 101888.03,1857129.97
Joe_Perry,702848.62,702848.62
Anna_Nicole_Smith,738509.26,738509.26
Alex_Kubik,771673.81,771673.81
Darren_Carter,772477.45,772477.45
Carol_Duboc,778791.85,778791.85
Minae_Noji,823318.18 2191.75,412754.97
Arielle_Kebbel,848352.29 1065586.95,956969.62
Kimberly_J._Brown,951387.35 118618.5,535002.93
Margaret_Travolta,982800.54 2141657.7 299204.49 4414865.31,1959632.01
Scott_Adsit,1053303.05 336770.18 2322383.23 1214350.67 948570.01 26091026.5,5327733.94
Brian_Christensen,1098971.6 789008.39,943990.0
Nick_Loren,1115732.43 5485323.92 3391598.26,3330884.87
Craig_Susser,1127533.78 5753520.07 7140205.1,4673752.98
George_Fisher,1201079.38 2834695.33 47098017.76,17044597.49
Sahar_Simmons,1237291.23,1237291.23
Serdar_Kalsin,1254856.17,1254856.17
Russ_Irwin,1597866.44,1597866.44
Joey_Kramer,1622393.33,1622393.33
Brad_Whitford,1631867.72,1631867.72
Tom_Hamilton,1695752.58,1695752.58
Joyce_Tolbert,1723255.39,1723255.39
Noelle_Scaggs,1770141.73,1770141.73
Will.i.am,1828717.23 26770043.82 762487.61,9787082.89
Fergie,1989092.39 2067407.67,2028250.03
Apl.de.Ap_,2006181.89,2006181.89
Taboo,2202584.89 4627458.22,3415021.55
Carmen_Getit,2282391.16,2282391.16
Steve_Lucky,2288204.82,2288204.82
Kimberly_Wyatt,3323380.08 2517928.96,2920654.52
Kasey_Campbell,3394647.58,3394647.58
Ashley_Roberts,3421662.5,3421662.5
Nicole_Scherzinger,3533245.17,3533245.17
Shanell_Woodgett,3671186.84,3671186.84
Clifford_McGhee,4103169.88,4103169.88
Christopher_Toler,5301117.26,5301117.26
Ivan_'Flipz'_Velez,5574733.67,5574733.67
Donyelle_Denise_Jones,9003632.98,9003632.98
Gustavo_Vargas,9987821.29 18163743.08,14075782.18
Tom_Cruise,81419.37 428503.81 3120828.46 229144.85 18129.39 4970.29 606371.19 11801.82 8866.89 206200.23 920011.84 1798.46 1820191.52 1056460.66 219223.76,582261.5
Colin_Farrell,807298.9 247446.59 202812.54 2746596.0 1662231.4 63054.94 32739.31 1522962.99 20533.0 6704.46 506608.89 1881694.8 462600.46 414601.37 1064920.9 39470.87,730142.34
Samantha_Morton,873242.71 1784615.19,1328928.95
Max_von_Sydow,1629432.02 3383416.86 417513.51 352496.35 14975237.55 992613.58 3663094.96 5047252.49 1081293.64 1131759.89,3267411.08
Lois_Smith,2384394.1 1564975.73 2215835.39 17399500.66 0.01 2041637.18 2029780.62 2229412.33,3733192.0
Peter_Stormare,2442082.91 9640.99 3017694.97 7161099.34 3252507.91 13933.61 110412.13 917747.6 31651.07 1267060.89 19216138.6 1948992.41 3037339.6 3631705.33 96.07 4329214.95,3149207.4
Tim_Blake_Nelson,4276185.53 25049.79 6765733.97 98176.99 212723.59 1906144.81 7746619.85 14351.98 10012.93,2339444.38
Steve_Harris,7595347.12 10408421.7 475336.26 438388.34 33690.58 4108209.9,3843232.32
Kathryn_Morris,8011096.76 97749.47,4054423.11
Mike_Binder,8784479.71,8784479.71
Daniel_London,8839198.23 2002878.17 176863.93,3672980.11
Neal_McDonough,9210724.45 447949.04 1725.49 272703.22,2483275.55
Jessica_Capshaw,9431286.32 422.46,4715854.39
Patrick_Kilpatrick,11579654.85 123312.77 1493782.12,4398916.58
Jessica_Harper,13187410.86,13187410.86
Ashley_Crow,13513770.8,13513770.8
Arye_Gross,13610204.89,13610204.89
Fiona_Hale,18000957.6 2440619.32,10220788.46
George_Wallace,23178509.88 6871.67 867150.01 1544503.54 255842.75 3211489.77,4844061.27
Frank_Grillo,30819389.13 875519.49 731592.92 77160.99 3405197.72 621177.2 1776008.28 353044.64 15931504.12 1655320.89 103714.39 3453525.47,4983596.27
Cameron_Diaz,31612406.43 21439.27 887199.2 629261.05 28736.11 67911.9 100567.15 13025.68 7816978.91 2390.81 877533.57 677955.44 36103.0,3290116.04
William_Mapother,44537498.63 1429430.61 141533.35,15369487.53
Jason_Antoon,93966934.82 719100.92 187756.59,31624597.44
Nikola_Rakočević,0.54,0.54
Viktor_Savić,1.3,1.3
Nataša_Tapušković,2.15,2.15
Nikola_Kojo,3.18,3.18
Bojana_Novaković,4.72 921388.95,460696.83
Dragan_Mićanović,4.89 82240.05,41122.47
Srđan_Miletić,6.55,6.55
Predrag_Ejdus,6.62,6.62
Milan_'Caci'_Mihailović,10.56,10.56
Branislav_Jevic,11.27,11.27
Jasmina_Avramović,18.73,18.73
Dimitrije_Vojnov,50.08,50.08
Nikola_Glišić,77.42,77.42
Rachel_McAdams,52939.47 375323.67 135734.38 1652579.55 753157.83 4415892.53 2408.18 73426.59 286365.04 34.58,774786.18
Cillian_Murphy,54587.52 581285.89 387427.77 8057.78 293909.79 438747.88 11883.09 715709.8 22558820.1 711.06 11177921.21,3293551.08
Brian_Cox,279311.89 1402097.35 3178020.13 611551.97 215450.28 2446819.25 504381.0 12135.09 60023.88 1859.63 910711.36 562644.42 212803.49 1605968.39 62502.45 271676.28 478.75 3205046.97,863526.81
Jayma_Mays,567372.36 35207.95 1821239.85,807940.05
Jack_Scalia,778087.58,778087.58
Robert_Pine,900091.46 149337.63 969728.05,673052.38
Terry_Press,977749.03,977749.03
Brittany_Oaks,1084960.47,1084960.47
Laura_Johnson,1209649.11 13663854.28,7436751.69
Kyle_Gallner,1557638.77 1038663.77 11775.46,869359.33
Angela_Paton,2060511.48 53608.28 15398.39 479624.1 874770.53,696782.56
Loren_Lester,2171034.85 1511749.86,1841392.35
Suzie_Plakson,2241075.08 6460376.29,4350725.69
Monica_McSwain,2898633.57 5566661.78,4232647.67
Beth_Toussaint,3276756.9,3276756.9
Adam_Gobble,3777125.58,3777125.58
Megan_Crawford,3820754.57,3820754.57
Carl_Gilliard,4294599.03 2408987.32,3351793.17
Mary_Kathleen_Gordon,4367776.72,4367776.72
Philip_Pavel,4394950.78 2939.32 607033.34,1668307.81
Amber_Mead,4809492.64 1093145.92,2951319.28
Dey_Young,5163778.27 515133.38 801520.33,2160143.99
Jeanine_Jackson,5860239.4 1496152.04 24323.72 12436268.53 1450269.55 397025.85,3610713.18
Ralph_Fiennes,1560.7 1352019.84 15813.84 35562.94 902303.95 136989.03 527429.59 157436.61 406952.33,392896.54
Felicity_Jones,3117.2 1832.56 199503.73 29670.6 80801.09 918174.26 243.23 8447.49 1136688.02 66370.88,244484.91
Joanna_Scanlan,3171.66 826326.84 392388.79 40486.79,315593.52
Kristin_Scott_Thomas,13200.67 1336959.29 857022.07 87431.18 117376.81 5470653.76 3405198.93 25635.15 35871.34 666582.38,1201593.16
Tom_Hollander,17937.51 10684.1 1282873.03 378243.84 8681873.16 951994.11 797841.84 1773743.4,1736898.87
Michelle_Fairley,27396.99 1666301.47,846849.23
John_Kavanagh,34217.81 3735875.79 1522826.95 1904421.11,1799335.42
Amanda_Hale,40269.14,40269.14
Perdita_Weeks,50101.34 6138245.24,3094173.29
Tom_Burke,59023.82,59023.82
Richard_McCabe,62888.02 4599228.44 3001539.77 441017.78,2026168.5
David_Collings,79899.61,79899.61
James_Michael_Rankin,90623.17,90623.17
Charlotte_Hope,97369.97 1843384.81,970377.39
Michael_Marcus,105154.34 879843.97 126715.76,370571.36
Laurence_Spellman,109561.92,109561.92
Jonathan_Harden,127993.01,127993.01
Christos_Lawton,128070.78,128070.78
Claire_Daly,182696.33,182696.33
Ed_Westwick,11507.83 16040.92,13774.38
Brooke_Shields,12932.03 444688.93 180208.67 15908681.14 65030.61,3322308.28
Bill_Nighy,13201.95 340081.0 815190.47 1803935.51 3718726.82 3545387.3 98242.41 1140606.17 666.23 7284.52 15294.29,1045328.79
Tamsin_Egerton,15160.79 526698.82 25223.11,189027.57
Bill_Bailey,27057.16 482487.95 216136.3 3476044.14,1050431.39
